Filename,ID,Feature,Manual,Automated
ACC5,7,Solidity,0.905077,0.741084
ACC5,7,Eccentricity,0.663328,0.647426
ACC5,7,Circularity,0.700370,0.482684
ACC5,7,X,366.109756,371.223750
ACC5,7,Y,371.148780,363.410000
ACC5,8,Area,388.000000,725.000000
ACC5,8,Perimeter,72.183766,134.811183
ACC5,8,Solidity,0.965174,0.793217
ACC5,8,Eccentricity,0.597702,0.862397
ACC5,8,Circularity,0.935756,0.501298
ACC5,8,X,335.726804,347.546207
ACC5,8,Y,361.479381,368.622069
ACC5,9,Area,1888.000000,1632.000000
ACC5,9,Perimeter,182.953319,170.888348
ACC5,9,Solidity,0.904215,0.912241
ACC5,9,Eccentricity,0.537222,0.776140
ACC5,9,Circularity,0.708812,0.702272
ACC5,9,X,354.066208,358.022059
ACC5,9,Y,426.070445,424.112132
ACC6,0,Area,2419.000000,2634.000000
ACC6,0,Perimeter,181.882251,192.509668
ACC6,0,Solidity,0.982535,0.979546
ACC6,0,Eccentricity,0.372742,0.355429
ACC6,0,Circularity,0.918893,0.893142
ACC6,0,X,188.972716,189.118451
ACC6,0,Y,83.002894,83.016325
ACC6,1,Area,761.000000,827.000000
ACC6,1,Perimeter,100.669048,107.982756
ACC6,1,Solidity,0.976893,0.967251
ACC6,1,Eccentricity,0.544075,0.444558
ACC6,1,Circularity,0.943632,0.891264
ACC6,1,X,246.898817,247.637243
ACC6,1,Y,194.848883,194.193470
ACC6,2,Area,1190.000000,1432.000000
ACC6,2,Perimeter,129.882251,141.296465
ACC6,2,Solidity,0.966694,0.974150
ACC6,2,Eccentricity,0.405504,0.298388
ACC6,2,Circularity,0.886456,0.901343
ACC6,2,X,74.043697,73.794693
ACC6,2,Y,263.352101,263.686453
ACC6,3,Area,1097.000000,1284.000000
ACC6,3,Perimeter,125.296465,135.781746
ACC6,3,Solidity,0.963126,0.969789
ACC6,3,Eccentricity,0.548023,0.618880
ACC6,3,Circularity,0.878090,0.875169
ACC6,3,X,437.159526,436.869938
ACC6,3,Y,323.232452,322.622274
ACC6,4,Area,1714.000000,1836.000000
ACC6,4,Perimeter,159.338095,163.681241
ACC6,4,Solidity,0.965634,0.967844
ACC6,4,Eccentricity,0.701981,0.590148
ACC6,4,Circularity,0.848362,0.861162
ACC6,4,X,178.413069,179.540305
ACC6,4,Y,431.153442,431.284314
ACC6,5,Area,996.000000,1203.000000
ACC6,5,Perimeter,124.083261,140.568542
ACC6,5,Solidity,0.965116,0.970944
ACC6,5,Eccentricity,0.773876,0.780481
ACC6,5,Circularity,0.812911,0.765067
ACC6,5,X,498.028112,497.948462
ACC6,5,Y,459.648594,460.631754
C1,0,Area,502.000000,577.000000
C1,0,Perimeter,80.426407,86.426407
C1,0,Solidity,0.978558,0.979626
C1,0,Eccentricity,0.492564,0.371271
C1,0,Circularity,0.975251,0.970717
C1,0,X,339.996016,340.251300
C1,0,Y,19.025896,18.644714
C1,1,Area,228.000000,349.000000
C1,1,Perimeter,54.627417,71.012193
C1,1,Solidity,0.957983,0.950954
