Gemcitabine Dosage (nM), Replicate, Time (hr), Organoid ID, Masked fluorescence, Area, Circularity
0,1,72,17,8003,4950,0.789984
0,1,72,18,2133,1704,0.864054
0,1,72,19,1680,1036,0.832592
0,1,72,20,1451,1216,0.877512
0,1,72,21,1854,1724,0.849056
0,1,72,23,2820,1632,0.851493
0,1,72,24,5868,2100,0.867853
0,1,72,25,1199,984,0.840158
0,1,72,26,3107,2432,0.868641
0,1,72,28,1825,2008,0.853975
0,1,72,29,2345,1936,0.875366
0,1,72,30,1406,1212,0.868407
0,1,72,32,786,668,0.781184
0,1,72,33,1312,548,0.869994
0,1,72,35,1152,1012,0.886468
0,1,72,36,908,756,0.865410
0,1,72,37,2562,1724,0.840194
0,1,72,38,503,472,0.853701
0,1,72,39,705,504,0.861430
0,1,72,40,1262,792,0.820909
0,2,0,1,2363,2864,0.873217
0,2,0,2,3769,4756,0.860647
0,2,0,3,2278,2628,0.650988
0,2,0,4,2362,2500,0.845071
0,2,0,5,2492,2868,0.876189
0,2,0,6,3681,3976,0.869229
0,2,0,7,1467,1840,0.855375
0,2,0,8,3683,4606,0.559820
0,2,0,9,2162,2536,0.796655
0,2,0,10,1908,2040,0.783877
0,2,0,11,2134,2800,0.843711
0,2,0,12,1619,1776,0.864688
0,2,0,13,1734,2032,0.848057
0,2,0,14,1100,1380,0.866701
0,2,0,15,974,998,0.886790
0,2,0,16,1572,1912,0.863073
0,2,0,17,4233,4200,0.710918
0,2,0,18,1062,748,0.854533
0,2,0,19,699,708,0.860404
0,2,0,20,791,1068,0.874620
0,2,0,21,576,640,0.867438
0,2,0,22,447,560,0.896656
0,2,0,23,1070,512,0.823662
0,2,0,24,632,736,0.834721
0,2,0,25,1101,1324,0.863631
0,2,0,26,976,828,0.889880
0,2,0,27,648,452,0.864156
0,2,0,28,1313,1380,0.871452
0,2,0,29,859,1096,0.871259
0,2,0,30,1002,624,0.892540
0,2,0,31,786,1092,0.877766
0,2,0,32,434,496,0.887359
0,2,4,1,3728,4308,0.862349
0,2,4,2,3951,3884,0.861075
0,2,4,3,2105,2260,0.869389
0,2,4,4,2015,1944,0.870265
0,2,4,5,3143,3464,0.871150
0,2,4,6,4232,4084,0.861431
0,2,4,7,1427,1716,0.856971
0,2,4,8,3339,3268,0.833420
0,2,4,10,2883,2908,0.832080
0,2,4,11,1734,2108,0.867585
0,2,4,12,1689,1652,0.854950
0,2,4,13,1096,1226,0.879598
0,2,4,15,1345,1280,0.877528
0,2,4,16,1697,1848,0.848505
0,2,4,17,8042,6324,0.749637
0,2,4,19,769,748,0.881046
0,2,4,20,666,876,0.866807
0,2,4,24,538,596,0.872285
0,2,4,25,1124,1384,0.823293
0,2,4,26,1017,876,0.845843
0,2,4,28,877,864,0.878368
0,2,4,29,1113,1396,0.906924
0,2,4,30,1181,552,0.853105
0,2,4,31,1600,2180,0.745853
0,2,4,32,430,468,0.879317
0,2,4,33,608,580,0.869259
0,2,4,34,626,756,0.884366
0,2,4,35,430,468,0.853997
0,2,8,1,4248,4956,0.847980
0,2,8,2,5833,6480,0.865935
0,2,8,3,1332,1404,0.850457
0,2,8,4,2483,2420,0.846194
0,2,8,5,3973,4460,0.853964
0,2,8,6,5053,4896,0.859349
0,2,8,7,1116,1320,0.874451
0,2,8,8,4413,3916,0.848875
0,2,8,10,3706,3812,0.866567
0,2,8,11,2296,2600,0.854646
0,2,8,12,2041,1972,0.848174
0,2,8,13,2107,2332,0.853808
0,2,8,14,1071,1264,0.846182
0,2,8,15,1467,1560,0.879959
0,2,8,16,1721,1896,0.848054
0,2,8,17,11313,9068,0.753578
0,2,8,18,1364,1168,0.845528
0,2,8,19,1056,1052,0.884159
0,2,8,20,1138,1512,0.872741
0,2,8,21,538,548,0.871561
0,2,8,22,387,468,0.902525
0,2,8,23,1433,876,0.866807
0,2,8,24,748,820,0.867304
0,2,8,25,926,1160,0.856636
0,2,8,26,1573,1432,0.880889
0,2,8,28,859,808,0.808071
0,2,8,29,385,476,0.803848
0,2,8,30,1022,652,0.881993
0,2,8,31,1581,2148,0.742556
0,2,8,32,545,604,0.878120
0,2,8,33,501,500,0.842888
0,2,8,34,583,704,0.862579
0,2,8,36,1206,1252,0.850639
0,2,8,37,310,444,0.864688
0,2,12,1,4220,4656,0.859591
0,2,12,2,6627,6976,0.856686
0,2,12,3,2198,2268,0.874987
0,2,12,4,2940,2728,0.868217
0,2,12,6,4805,4224,0.845794
0,2,12,7,1855,2128,0.885035
0,2,12,8,4854,3980,0.812862
0,2,12,10,4275,3996,0.869432
0,2,12,11,2023,2100,0.798281
0,2,12,12,2803,2520,0.838393
0,2,12,13,1641,1676,0.885226
0,2,12,14,1266,1372,0.838486
0,2,12,15,1990,1928,0.866676
0,2,12,16,2298,2408,0.861836
0,2,12,17,14411,10800,0.747848
0,2,12,18,1201,956,0.816223
0,2,12,19,1006,956,0.863922
0,2,12,20,1270,1628,0.835544
0,2,12,21,420,400,0.816809
0,2,12,22,503,580,0.891165
0,2,12,23,1057,776,0.869066
0,2,12,24,578,600,0.814351
0,2,12,25,1034,1212,0.850454
0,2,12,26,1787,1552,0.852742
0,2,12,27,1319,716,0.884735
0,2,12,28,2409,2148,0.842174
0,2,12,29,1072,1304,0.887207
0,2,12,30,728,548,0.871561
0,2,12,31,1938,2512,0.740036
0,2,12,33,420,404,0.873651
0,2,12,34,632,720,0.906157
0,2,12,36,1264,1332,0.851893
0,2,12,37,359,488,0.886007
0,2,16,1,4253,4704,0.857179
0,2,16,2,5772,5392,0.846880
0,2,16,3,2161,2236,0.847429
0,2,16,4,1984,1752,0.841024
0,2,16,6,5130,4500,0.868706
0,2,16,7,2276,2644,0.857100
0,2,16,8,4985,3476,0.821873
0,2,16,10,4376,4020,0.864517
0,2,16,11,2555,2640,0.809215
0,2,16,12,2751,2480,0.827537
0,2,16,13,1995,2074,0.852253
0,2,16,15,2294,2252,0.867082
0,2,16,16,2258,2256,0.870800
0,2,16,17,15577,11880,0.735826
0,2,16,19,946,904,0.828163
0,2,16,20,1715,2228,0.851849
