Time,ID,Area
36,23,3308.640800
36,24,2224.065600
36,25,2505.506000
36,26,6401.053000
36,28,2045.591200
36,30,940.422800
36,33,5381.689600
36,34,1613.134000
36,35,1565.083200
38,1,24680.950200
38,2,15774.391200
38,3,10598.633600
38,4,6260.332800
38,5,3768.555600
38,6,10605.498000
38,7,6054.400800
38,8,5004.147600
38,9,5855.333200
38,10,16357.865200
38,11,3967.623200
38,12,1592.540800
38,14,1688.642400
38,15,3260.590000
38,16,4832.537600
38,17,1928.896400
38,18,5800.418000
38,19,3178.217200
38,20,3267.454400
38,21,823.728000
38,23,3981.352000
38,24,1736.693200
38,30,1688.642400
38,33,6679.061200
38,35,1661.184800
40,1,18448.075000
40,2,17346.338800
40,3,6226.010800
40,4,6672.196800
40,5,3988.216400
40,6,10550.582800
40,7,6878.128800
40,8,5261.562600
40,9,5676.858800
40,10,16131.340000
40,11,5113.978000
40,12,1414.066400
40,14,2066.184400
40,15,3562.623600
40,16,4482.453200
40,17,1805.337200
40,18,5855.333200
40,19,3562.623600
40,20,3322.369600
40,21,1180.676800
40,23,4523.639600
40,24,2114.235200
40,25,2581.014400
40,26,7839.144800
40,28,3143.895200
40,30,2587.878800
40,33,6665.332400
40,35,1414.066400
40,36,4406.944800
40,37,864.914400
40,38,755.084000
42,1,22395.105000
42,2,17291.423600
42,3,10687.870800
42,4,7276.264000
42,5,4461.860000
42,6,12465.750400
42,7,7413.552000
42,8,6119.612600
42,9,6936.476200
42,10,16927.610400
42,11,4757.029200
42,12,2224.065600
42,14,940.422800
42,15,3239.996800
42,16,3802.877600
42,17,1290.507200
42,18,4654.063200
42,19,4207.877200
42,20,3137.030800
42,21,1352.286800
42,23,2883.048000
42,24,2320.167200
42,25,3775.420000
42,26,8704.059200
42,28,3603.810000
42,30,926.694000
42,32,871.778800
42,33,5807.282400
42,35,2004.404800
42,37,1228.727600
42,39,809.999200
42,40,713.897600
44,1,22474.045600
44,2,17277.694800
44,3,10166.176400
44,4,7248.806400
44,5,2258.387600
44,6,11532.192000
44,7,6830.078000
44,8,6558.934200
44,9,6939.908400
44,10,17432.143800
44,11,4393.216000
44,12,1894.574400
44,14,871.778800
44,15,3267.454400
44,16,4434.402400
44,17,1132.626000
44,18,4949.232400
44,19,5313.045600
44,20,2793.810800
44,21,1132.626000
44,23,3157.624000
44,24,2162.286000
44,25,1565.083200
44,26,8934.016600
44,28,3391.013600
44,30,1105.168400
44,32,686.440000
44,33,5724.909600
44,34,1908.303200
44,35,2114.235200
44,37,1276.778400
44,39,1139.490400
46,1,21931.758000
46,2,18568.202000
46,3,10536.854000
46,4,7344.908000
46,6,12307.869200
46,7,7276.264000
46,8,6311.815800
46,9,6246.604000
46,10,17912.651800
46,11,4194.148400
46,12,1118.897200
46,14,727.626400
46,15,4091.182400
46,16,5203.215200
46,17,1290.507200
46,18,5704.316400
46,19,5697.452000
46,20,885.507600
46,21,1359.151200
46,23,3844.064000
46,24,2786.946400
46,25,1915.167600
46,26,8992.364000
46,28,2292.709600
46,30,1036.524400
46,33,7681.263600
46,35,2169.150400
46,37,823.728000
48,1,23308.070200
48,2,19357.608000
48,3,10907.531600
48,4,7612.619600
48,5,4187.284000
48,6,12712.868800
48,7,7646.941600
48,8,6277.493800
48,9,5536.138600
48,10,17970.999200
48,11,4221.606000
48,12,1166.948000
48,14,796.270400
48,15,4235.334800
48,16,6356.434400
48,17,1366.015600
48,18,5601.350400
48,19,5443.469200
48,20,2368.218000
