Dosage,Replicate,Time,Fluorescence
3,2,8,822348
3,2,12,862444
3,2,16,861074
3,2,20,892118
3,2,24,876257
3,2,28,909584
3,2,32,911459
3,2,36,915265
3,2,40,934090
3,2,44,945113
3,2,48,975172
3,2,52,1004910
3,2,56,1048845
3,2,60,1029194
3,2,64,1082743
3,2,68,1085588
3,2,72,1105961
3,3,0,887372
3,3,4,905664
3,3,8,911249
3,3,12,960582
3,3,16,963753
3,3,20,999502
3,3,24,977234
3,3,28,1017674
3,3,32,1011963
3,3,36,1010832
3,3,40,1027004
3,3,44,1031687
3,3,48,1060189
3,3,52,1084668
3,3,56,1124730
3,3,60,1104838
3,3,64,1160594
3,3,68,1161799
3,3,72,1179366
3,4,0,820275
3,4,4,831438
3,4,8,834404
3,4,12,876275
3,4,16,876761
3,4,20,907194
3,4,24,885765
3,4,28,920229
3,4,32,917679
3,4,36,917803
3,4,40,933220
3,4,44,940502
3,4,48,969371
3,4,52,989564
3,4,56,1025920
3,4,60,1011543
3,4,64,1058207
3,4,68,1062545
3,4,72,1079318
3,5,0,900137
3,5,4,929989
3,5,8,935069
3,5,12,989853
3,5,16,995889
3,5,20,1035988
3,5,24,1014507
3,5,28,1061547
3,5,32,1065039
3,5,36,1070089
3,5,40,1095499
3,5,44,1110445
3,5,48,1151762
3,5,52,1186799
3,5,56,1239075
3,5,60,1222309
3,5,64,1288045
3,5,68,1293678
3,5,72,1321384
3,0,0,818348
3,0,4,842278
3,0,8,849238
3,0,12,895036
3,0,16,896987
3,0,20,930235
3,0,24,912176
3,0,28,944907
3,0,32,949915
3,0,36,952940
3,0,40,976337
3,0,44,988909
3,0,48,1019817
3,0,52,1042803
3,0,56,1082546
3,0,60,1062520
3,0,64,1115146
3,0,68,1120660
3,0,72,1145361
